Date,Open,High,Low,Close,Adj Close,Volume
2020-03-13,145.000000,149.990005,144.500000,147.899994,147.899994,39075
2020-03-16,147.000000,147.000000,140.000000,142.000000,142.000000,57773
2020-03-17,143.009995,143.860001,141.270004,141.600006,141.600006,29351
2020-03-18,140.990005,141.000000,125.300003,127.000000,127.000000,55000
2020-03-19,126.389999,133.000000,115.000000,129.089996,129.089996,30262
2020-03-20,130.000000,140.000000,127.010002,130.000000,130.000000,32945
2020-03-23,129.789993,129.789993,121.510002,124.000000,124.000000,23779
2020-03-24,125.500000,127.989998,125.500000,126.879997,126.879997,19653
2020-03-25,127.779999,134.000000,127.120003,132.600006,132.600006,18685
2020-03-26,132.330002,140.009995,132.000000,134.490005,134.490005,19805
2020-03-27,134.479996,139.960007,132.059998,134.000000,134.000000,12530
2020-03-30,134.000000,139.000000,133.000000,138.199997,138.199997,9913
2020-03-31,138.720001,140.000000,138.500000,138.720001,138.720001,12217
2020-04-01,135.990005,136.210007,130.000000,133.000000,133.000000,17277
2020-04-02,135.839996,135.839996,134.100006,134.410004,134.410004,5679
2020-04-03,135.000000,135.850006,130.039993,132.000000,132.000000,20379
2020-04-06,134.500000,135.800003,133.009995,134.899994,134.899994,19060
2020-04-07,135.899994,139.399994,135.000000,135.020004,135.020004,16165
2020-04-08,135.309998,138.899994,135.279999,136.570007,136.570007,9121
2020-04-09,137.500000,139.000000,137.070007,138.979996,138.979996,13159
2020-04-13,138.500000,139.710007,137.500000,139.009995,139.009995,14054
2020-04-14,139.899994,141.009995,139.600006,140.550003,140.550003,17766
2020-04-15,139.940002,140.490005,137.199997,140.300003,140.300003,18893
2020-04-16,140.020004,141.869995,139.899994,141.869995,141.869995,17148
2020-04-17,141.830002,144.880005,141.500000,143.820007,143.820007,12201
2020-04-20,143.500000,144.300003,141.559998,143.500000,143.500000,17713
2020-04-22,143.699997,144.000000,143.210007,144.000000,144.000000,12112
2020-04-23,144.000000,147.539993,144.000000,145.000000,145.000000,20515
2020-04-24,144.440002,144.899994,141.699997,143.009995,143.009995,24940
2020-04-27,142.020004,144.000000,142.020004,144.000000,144.000000,12351
2020-04-28,144.000000,149.000000,143.539993,148.500000,148.500000,13586
2020-04-29,148.979996,154.520004,148.720001,153.000000,153.000000,23166
2020-04-30,153.000000,153.990005,150.990005,152.110001,152.110001,16710
2020-05-04,151.500000,151.500000,146.600006,149.429993,149.429993,15336
2020-05-05,150.000000,152.500000,146.100006,150.500000,150.500000,17209
2020-05-06,150.509995,151.990005,148.820007,150.000000,150.000000,14550
2020-05-07,150.009995,151.160004,149.119995,150.000000,150.000000,15452
2020-05-08,150.009995,150.979996,149.500000,149.910004,149.910004,11894
2020-05-11,150.000000,150.899994,149.550003,149.669998,149.669998,14299
2020-05-12,150.000000,150.050003,149.669998,149.690002,149.690002,9995
2020-05-13,149.699997,150.029999,146.520004,149.570007,149.570007,13121
2020-05-14,149.000000,149.630005,148.100006,149.630005,149.630005,10804
2020-05-15,149.779999,149.990005,149.000000,149.800003,149.800003,11678
2020-05-18,149.800003,150.539993,148.039993,149.800003,149.800003,18892
2020-05-19,148.649994,150.149994,148.649994,149.899994,149.899994,19439
2020-05-20,149.800003,150.990005,149.130005,149.899994,149.899994,13695
2020-05-21,150.389999,151.000000,149.669998,149.899994,149.899994,17965
2020-05-22,150.789993,153.000000,150.229996,152.600006,152.600006,18214
2020-05-25,152.509995,153.500000,152.410004,153.000000,153.000000,16886
2020-05-26,153.690002,154.899994,152.500000,154.220001,154.220001,16125
2020-05-27,154.220001,155.479996,153.500000,154.279999,154.279999,21514
2020-05-28,154.279999,155.789993,154.009995,155.699997,155.699997,10539
2020-05-29,155.500000,158.000000,155.000000,157.600006,157.600006,20659
2020-06-01,156.110001,159.000000,155.279999,157.929993,157.929993,13309
2020-06-02,157.960007,160.000000,157.929993,159.500000,159.500000,20091
2020-06-03,159.600006,160.000000,159.059998,159.199997,159.199997,17065
2020-06-04,159.229996,160.000000,157.949997,159.250000,159.250000,19358
2020-06-05,159.000000,159.300003,158.589996,159.300003,159.300003,19558
2020-06-08,159.000000,159.990005,158.899994,159.899994,159.899994,20845
2020-06-09,159.899994,161.990005,159.059998,159.070007,159.070007,20119
2020-06-10,160.000000,160.710007,156.000000,159.000000,159.000000,26262
2020-06-12,158.899994,158.949997,156.110001,157.270004,157.270004,23637
2020-06-15,157.270004,159.570007,154.789993,158.970001,158.970001,27661
2020-06-16,158.970001,159.889999,157.320007,159.000000,159.000000,23905
2020-06-17,159.059998,159.990005,159.059998,159.899994,159.899994,18965
2020-06-18,159.899994,160.990005,159.600006,159.940002,159.940002,16530
2020-06-19,160.000000,160.789993,160.000000,160.440002,160.440002,14339
2020-06-22,160.789993,162.990005,160.440002,162.990005,162.990005,17369
2020-06-23,163.000000,164.000000,161.020004,162.990005,162.990005,17676
2020-06-24,162.979996,163.500000,161.130005,162.149994,162.149994,22114
2020-06-25,162.169998,163.449997,162.169998,163.000000,163.000000,10909
2020-06-26,163.250000,163.500000,162.949997,163.380005,163.380005,14487
2020-06-29,163.369995,163.500000,163.110001,163.399994,163.399994,11363
2020-06-30,163.399994,164.000000,163.399994,164.000000,164.000000,28131
2020-07-01,162.940002,163.839996,160.020004,160.669998,160.669998,19678
2020-07-02,161.500000,162.419998,158.990005,159.009995,159.009995,24211
2020-07-03,159.990005,162.000000,159.399994,160.000000,160.000000,15810
2020-07-06,160.100006,162.000000,159.949997,160.119995,160.119995,28158
2020-07-07,160.529999,160.529999,159.910004,160.000000,160.000000,25236
2020-07-08,159.000000,159.050003,144.000000,148.750000,148.750000,143685
2020-07-09,148.750000,148.750000,137.600006,141.610001,141.610001,289559
2020-07-10,141.000000,141.000000,138.500000,141.000000,141.000000,103983
2020-07-13,141.600006,148.050003,141.600006,142.750000,142.750000,64756
2020-07-14,142.759995,145.000000,142.000000,142.059998,142.059998,26826
2020-07-15,142.000000,143.110001,141.500000,142.009995,142.009995,42059
2020-07-16,142.000000,142.449997,139.800003,139.800003,139.800003,55214
2020-07-17,140.250000,140.990005,138.770004,139.250000,139.250000,112020
2020-07-20,139.309998,140.600006,138.509995,139.000000,139.000000,46945
2020-07-21,139.320007,140.149994,138.509995,138.509995,138.509995,78989
2020-07-22,138.710007,139.199997,137.669998,138.080002,138.080002,33304
2020-07-23,138.100006,138.460007,137.000000,137.220001,137.220001,33551
2020-07-24,137.210007,137.210007,136.009995,136.100006,136.100006,31727
2020-07-27,136.300003,136.729996,134.000000,134.699997,134.699997,75704
2020-07-28,134.899994,134.899994,128.000000,130.500000,130.500000,142310
2020-07-29,130.000000,131.970001,125.099998,131.490005,131.490005,145207
2020-07-30,131.399994,138.000000,128.009995,137.899994,137.899994,64052
2020-07-31,138.100006,140.490005,137.559998,138.710007,138.710007,42447
2020-08-03,136.399994,136.500000,132.130005,136.000000,136.000000,41992
2020-08-04,136.000000,137.990005,135.500000,137.199997,137.199997,23701
2020-08-05,137.199997,138.100006,135.009995,135.009995,135.009995,15533
2020-08-06,136.089996,136.699997,134.399994,134.399994,134.399994,13783
2020-08-07,134.399994,135.000000,133.210007,134.000000,134.000000,20798
2020-08-10,134.020004,136.009995,130.960007,136.009995,136.009995,135190
2020-08-11,135.770004,136.029999,134.550003,135.000000,135.000000,40742
2020-08-12,135.009995,135.550003,133.100006,133.500000,133.500000,44809
2020-08-13,133.500000,134.889999,133.000000,134.000000,134.000000,31318
2020-08-14,134.699997,137.100006,134.360001,137.000000,137.000000,73469
2020-08-17,137.110001,138.979996,136.000000,136.009995,136.009995,46843
2020-08-18,136.500000,137.990005,136.500000,137.500000,137.500000,19796
2020-08-19,137.500000,137.690002,136.589996,137.550003,137.550003,18515
2020-08-20,137.600006,138.990005,137.149994,138.000000,138.000000,27129
2020-08-21,138.399994,138.559998,136.479996,137.520004,137.520004,45865
2020-08-24,138.149994,139.000000,137.800003,138.199997,138.199997,15728
2020-08-25,138.199997,138.589996,138.110001,138.449997,138.449997,20865
2020-08-26,138.449997,139.000000,138.059998,138.500000,138.500000,18693
2020-08-27,138.500000,139.380005,138.490005,138.509995,138.509995,12504
2020-08-28,139.000000,139.350006,138.000000,138.600006,138.600006,21690
2020-08-31,139.000000,139.250000,138.649994,139.250000,139.250000,37565
2020-09-01,135.509995,136.100006,135.509995,136.100006,136.100006,84463
2020-09-02,136.100006,136.850006,135.720001,136.149994,136.149994,32924
2020-09-03,136.169998,136.830002,136.000000,136.250000,136.250000,19594
2020-09-04,136.279999,137.000000,136.279999,136.990005,136.990005,19872
2020-09-08,137.000000,137.000000,136.500000,136.500000,136.500000,19365
2020-09-09,136.500000,137.350006,136.110001,137.009995,137.009995,18393
2020-09-10,137.000000,139.000000,136.000000,137.000000,137.000000,40031
2020-09-11,137.110001,138.809998,137.009995,137.550003,137.550003,20848
2020-09-14,137.550003,138.949997,137.229996,138.789993,138.789993,28252
2020-09-15,138.740005,139.490005,137.300003,139.490005,139.490005,33189
2020-09-16,139.240005,139.399994,138.500000,139.399994,139.399994,18183
2020-09-17,139.350006,139.770004,138.919998,139.429993,139.429993,18269
2020-09-18,139.429993,139.649994,138.899994,139.289993,139.289993,11016
2020-09-21,139.279999,139.289993,137.509995,138.000000,138.000000,26498
2020-09-22,138.000000,138.690002,137.699997,138.500000,138.500000,12754
2020-09-23,138.389999,138.479996,137.000000,138.000000,138.000000,21762
2020-09-24,138.000000,138.690002,137.649994,138.669998,138.669998,12235
2020-09-25,138.449997,138.899994,138.199997,138.610001,138.610001,14328
2020-09-28,138.710007,138.860001,136.500000,137.910004,137.910004,19709
2020-09-29,137.910004,138.490005,137.740005,138.300003,138.300003,15871
2020-09-30,138.300003,139.770004,137.869995,138.500000,138.500000,29062
2020-10-01,137.729996,138.850006,137.729996,137.779999,137.779999,16138
2020-10-02,138.009995,138.990005,137.960007,137.960007,137.960007,12889
2020-10-05,138.750000,138.750000,138.220001,138.300003,138.300003,10160
2020-10-06,138.399994,138.880005,138.000000,138.440002,138.440002,21385
2020-10-07,138.440002,138.800003,138.050003,138.199997,138.199997,12077
2020-10-08,138.300003,138.899994,138.199997,138.699997,138.699997,15456
2020-10-09,138.690002,138.690002,138.149994,138.470001,138.470001,9043
2020-10-13,138.470001,138.830002,138.149994,138.529999,138.529999,14503
2020-10-14,138.479996,138.649994,138.119995,138.500000,138.500000,27573
2020-10-15,138.500000,138.800003,137.800003,138.800003,138.800003,22877
2020-10-16,138.500000,139.389999,138.100006,139.389999,139.389999,20728
2020-10-19,139.339996,140.000000,139.029999,139.979996,139.979996,21911
2020-10-20,139.800003,140.000000,139.720001,139.850006,139.850006,21148
2020-10-21,139.899994,140.199997,138.970001,139.869995,139.869995,24411
2020-10-22,139.990005,140.000000,139.559998,140.000000,140.000000,26768
2020-10-23,139.990005,140.000000,139.669998,139.889999,139.889999,10500
2020-10-26,139.740005,140.000000,139.740005,139.809998,139.809998,10280
2020-10-27,139.710007,140.000000,139.600006,139.830002,139.830002,20316
2020-10-28,139.830002,139.830002,138.000000,138.000000,138.000000,17161
2020-10-29,138.410004,139.369995,137.789993,138.699997,138.699997,19473
2020-10-30,138.899994,139.490005,138.330002,138.669998,138.669998,17314
